epoch	hours	top1Accuracy
1	0.00681679	10.00
2	0.01157037	10.06
3	0.01683082	10.00
4	0.02168056	10.00
5	0.02621564	10.00
6	0.03122110	10.00
7	0.03585936	10.00
8	0.04121638	10.00
9	0.04576228	10.00
10	0.05030547	10.00
11	0.05575984	10.00
12	0.06048752	10.00
13	0.06559781	10.00
14	0.07019122	10.00
15	0.07510345	10.00
16	0.08027071	10.00
17	0.08482800	10.00
18	0.09020577	10.00
19	0.09508595	10.00
20	0.09962564	10.00
21	0.10471294	10.00
22	0.10961447	10.00
23	0.11490328	10.00
24	0.11943344	10.00
25	0.12409400	10.00
