epoch	hours	top1Accuracy
1	0.00527729	23.05
2	0.00645182	32.02
3	0.00767074	38.46
4	0.00884528	40.62
5	0.01002319	45.90
6	0.01120596	50.40
7	0.01238507	53.42
8	0.01356480	55.55
9	0.01474795	56.46
10	0.01592651	56.64
11	0.01710507	57.45
12	0.01829380	60.65
13	0.01947094	62.80
14	0.02064774	63.58
15	0.02182842	63.22
16	0.02300800	61.71
17	0.02419960	64.64
18	0.02538119	66.95
19	0.02656600	67.20
20	0.02776350	65.01
21	0.02895136	61.08
22	0.03013473	64.69
23	0.03132458	68.48
24	0.03250788	69.02
25	0.03369098	69.10
26	0.03488048	68.13
27	0.03606444	70.17
28	0.03724658	68.52
29	0.03843073	71.21
30	0.03961072	69.76
31	0.04079888	71.79
32	0.04198124	70.03
33	0.04316315	70.31
34	0.04435087	71.19
35	0.04553085	72.37
36	0.04671297	71.27
37	0.04790289	71.59
38	0.04909661	72.66
39	0.05028009	72.90
40	0.05147262	72.63
41	0.05265933	74.01
42	0.05384112	73.59
43	0.05502159	74.24
44	0.05620420	73.90
45	0.05739274	71.93
46	0.05857545	74.11
47	0.05975716	66.23
48	0.06094468	73.91
49	0.06212613	75.27
50	0.06330695	73.70
51	0.06449785	74.28
52	0.06568373	73.27
53	0.06687645	75.49
54	0.06807090	75.40
55	0.06925697	75.78
56	0.07046541	75.65
57	0.07164689	75.73
58	0.07282957	76.26
59	0.07401880	76.29
60	0.07520166	76.34
