epoch	hours	top1Accuracy
1	0.00347526	26.94
2	0.00616468	37.24
3	0.00889413	39.84
4	0.01158289	35.96
5	0.01427527	39.12
6	0.01700143	44.12
7	0.01969648	48.75
8	0.02242468	37.44
9	0.02511676	45.25
10	0.02780662	56.90
11	0.03053195	51.90
12	0.03322244	45.80
13	0.03594635	55.13
14	0.03864137	55.70
15	0.04133265	71.42
16	0.04405751	74.44
17	0.04674940	75.15
18	0.04956315	75.61
19	0.05228750	73.04
20	0.05498985	76.31
21	0.05773831	73.99
22	0.06049050	72.30
23	0.06331314	78.33
24	0.06600296	77.57
25	0.06870974	71.18
26	0.07144253	76.77
27	0.07412979	75.10
28	0.07687845	73.66
29	0.07957005	78.97
30	0.08226386	78.27
31	0.08499926	77.57
32	0.08769281	81.71
33	0.09045678	82.04
34	0.09318187	83.63
35	0.09589533	82.26
36	0.09863998	86.18
37	0.10135481	82.64
38	0.10410950	79.03
39	0.10680405	86.33
40	0.10950314	87.60
41	0.11224586	86.93
42	0.11494731	87.30
43	0.11768207	87.32
44	0.12037210	87.86
45	0.12306231	86.78
46	0.12581855	88.01
47	0.12854236	88.32
48	0.13127870	88.40
49	0.13396939	88.50
50	0.13666422	88.56
