epoch	hours	top1Accuracy
1	0.01083098	10.00
2	0.01972102	10.11
3	0.02955985	11.31
4	0.03912900	10.88
5	0.04806109	20.15
6	0.05697877	17.40
7	0.06578303	17.28
8	0.07429836	22.80
9	0.08402064	25.35
10	0.09304886	26.65
11	0.10210193	24.02
12	0.11128605	23.87
13	0.12140441	29.31
14	0.13070802	25.82
15	0.13994708	27.43
16	0.14899416	23.79
17	0.15820292	25.67
18	0.16822133	39.07
19	0.17668886	39.44
20	0.18651086	46.66
21	0.19604623	49.64
22	0.20644150	54.57
23	0.21601056	56.98
24	0.22553169	61.75
25	0.23534957	64.95
