epoch	hours	top1Accuracy
1	0.00514491	29.06
2	0.00631697	38.96
3	0.00750400	46.67
4	0.00867861	52.23
5	0.00985551	49.74
6	0.01103910	59.99
7	0.01221806	60.96
8	0.01339652	63.72
9	0.01458275	64.40
10	0.01576283	65.04
11	0.01694244	65.34
12	0.01813268	68.04
13	0.01934133	67.42
14	0.02052098	67.45
15	0.02169916	68.55
16	0.02287930	65.03
17	0.02406511	67.67
18	0.02524467	68.22
19	0.02642796	70.81
20	0.02761747	69.43
21	0.02880195	68.60
22	0.02998590	69.39
23	0.03117600	72.43
24	0.03235630	68.62
25	0.03353684	70.97
26	0.03472804	71.67
27	0.03591077	72.68
28	0.03709383	72.26
29	0.03827570	73.28
30	0.03946675	72.63
31	0.04068005	74.03
32	0.04186464	73.93
33	0.04304751	73.59
34	0.04423611	73.46
35	0.04541852	73.50
36	0.04660161	75.23
37	0.04779055	76.23
38	0.04897055	76.05
39	0.05014928	76.20
40	0.05133848	76.59
