epoch	hours	top1Accuracy
1	0.00448916	29.07
2	0.00717259	24.42
3	0.01043745	22.66
4	0.01311143	16.25
5	0.01579406	20.31
6	0.01905717	40.11
7	0.02174199	31.89
8	0.02493603	34.80
9	0.02761866	56.98
10	0.03030653	58.39
11	0.03352425	63.62
12	0.03620909	55.30
13	0.03941613	56.65
14	0.04210290	60.79
15	0.04478974	60.23
16	0.04801525	58.75
17	0.05070478	54.12
18	0.05394035	66.83
19	0.05662735	79.09
20	0.05931324	78.10
21	0.06249707	64.66
22	0.06518637	71.06
23	0.06840298	71.99
24	0.07108876	76.91
25	0.07377779	83.21
26	0.07698708	82.04
27	0.07969151	84.27
28	0.08290359	69.20
29	0.08560103	87.79
30	0.08830036	84.18
31	0.09149151	85.75
32	0.09419248	83.29
33	0.09739530	68.54
34	0.10008103	73.02
35	0.10277162	76.66
36	0.10598788	85.25
37	0.10868043	87.21
38	0.11191512	83.02
39	0.11460184	87.89
40	0.11729107	87.85
41	0.12049942	87.71
42	0.12318892	90.18
43	0.12643188	89.45
44	0.12911960	89.89
45	0.13180826	90.89
46	0.13503197	91.29
47	0.13771940	91.30
48	0.14093540	91.38
49	0.14362398	92.18
50	0.14631315	92.27
