epoch	hours	top1Accuracy
1	0.00672533	10.00
2	0.01140588	10.00
3	0.01671276	12.60
4	0.02144013	8.92
5	0.02617924	10.00
6	0.03127593	10.00
7	0.03581414	10.00
8	0.04084527	10.00
9	0.04538801	10.00
10	0.04993049	10.00
11	0.05501237	10.00
12	0.05955750	10.00
13	0.06475326	10.00
14	0.06929497	10.00
15	0.07383470	10.00
16	0.07884482	10.00
17	0.08338531	10.00
18	0.08859134	10.00
19	0.09332455	10.00
20	0.09786574	10.00
21	0.10290372	10.00
22	0.10744082	10.00
23	0.11248414	10.00
24	0.11706321	10.00
25	0.12178667	10.00
