epoch	hours	top1Accuracy
1	0.00345192	15.89
2	0.00614980	27.09
3	0.00884432	31.11
4	0.01153899	39.95
5	0.01424518	32.20
6	0.01694294	48.98
7	0.01964027	49.37
8	0.02233701	53.23
9	0.02503501	47.41
10	0.02773290	54.82
11	0.03046202	43.62
12	0.03316050	58.91
13	0.03585784	46.15
14	0.03855611	63.51
15	0.04125246	46.78
16	0.04394938	64.28
17	0.04664718	43.98
18	0.04934596	64.73
19	0.05204597	48.36
20	0.05474576	63.63
21	0.05747430	47.25
22	0.06017329	63.50
23	0.06287201	51.09
24	0.06557172	62.57
25	0.06833203	54.56
26	0.07104589	65.04
27	0.07374677	61.22
28	0.07645250	63.82
29	0.07913381	62.13
30	0.08181448	67.76
31	0.08452969	63.04
32	0.08722586	68.16
33	0.08992285	59.01
34	0.09261913	69.17
35	0.09531488	55.84
36	0.09801132	69.35
37	0.10070696	58.41
38	0.10340099	67.42
39	0.10609630	58.44
40	0.10879203	65.39
41	0.11151641	59.58
42	0.11421297	65.63
43	0.11690931	62.15
44	0.11960568	68.67
45	0.12230277	60.28
46	0.12500045	69.35
47	0.12769685	63.91
48	0.13039389	71.88
49	0.13309269	73.89
50	0.13579164	79.48
