epoch	hours	top1Accuracy
1	0.00654152	12.73
2	0.01174763	12.66
3	0.01713989	10.07
4	0.02233576	14.79
5	0.02754125	15.58
6	0.03273392	19.65
7	0.03796641	19.15
8	0.04326789	28.40
9	0.04857447	34.50
10	0.05415313	38.33
11	0.05933191	33.60
12	0.06459031	38.17
13	0.06990485	47.99
14	0.07517487	52.33
15	0.08043507	54.18
16	0.08571037	54.37
17	0.09095527	59.91
18	0.09625386	65.14
19	0.10150434	62.31
20	0.10677073	66.46
21	0.11202396	65.22
22	0.11764514	73.31
23	0.12306162	74.17
24	0.12835112	75.31
25	0.13358969	75.88
