epoch	hours	top1Accuracy
1	0.00449267	30.60
2	0.00771220	18.68
3	0.01096110	29.39
4	0.01418076	34.55
5	0.01738390	42.23
6	0.02060364	52.38
7	0.02382298	31.51
8	0.02706603	52.38
9	0.03030298	48.51
10	0.03352617	44.14
11	0.03676939	42.65
12	0.03998366	59.57
13	0.04319758	60.46
14	0.04642254	48.90
15	0.04960982	64.80
16	0.05281934	68.58
17	0.05607859	73.01
18	0.05933294	71.70
19	0.06252981	79.00
20	0.06574326	74.91
21	0.06896898	74.48
22	0.07218477	85.54
23	0.07539717	83.15
24	0.07862519	80.34
25	0.08183623	84.87
26	0.08508130	82.52
27	0.08831631	83.37
28	0.09154394	85.85
29	0.09475932	84.22
30	0.09797981	85.39
31	0.10120037	87.66
32	0.10441627	83.50
33	0.10764696	85.71
34	0.11087920	87.29
35	0.11411186	88.83
36	0.11726752	88.86
37	0.12051092	89.44
38	0.12373850	89.46
39	0.12698346	88.96
40	0.13022868	90.26
41	0.13348947	90.05
42	0.13674621	89.92
43	0.13997161	89.71
44	0.14318189	90.35
45	0.14643733	91.22
46	0.14967292	91.35
47	0.15290577	91.25
48	0.15611322	91.51
49	0.15934942	91.60
50	0.16259249	91.69
