epoch	hours	top1Accuracy
1	0.00503785	20.33
2	0.00622032	31.89
3	0.00743185	39.02
4	0.00859937	43.37
5	0.00976596	49.49
6	0.01093855	55.82
7	0.01210935	57.71
8	0.01327877	61.46
9	0.01445588	63.90
10	0.01562718	66.28
11	0.01680052	66.83
12	0.01798319	66.49
13	0.01915968	65.74
14	0.02033693	70.97
15	0.02151708	71.56
16	0.02269733	68.64
17	0.02388174	72.46
18	0.02506109	73.69
19	0.02623762	76.03
20	0.02742626	74.80
21	0.02863748	66.98
22	0.02981758	77.76
23	0.03099992	77.77
24	0.03217687	75.52
25	0.03335273	77.02
26	0.03453657	78.60
27	0.03571403	79.01
28	0.03689255	78.90
29	0.03807035	81.74
30	0.03925196	79.52
31	0.04043765	81.97
32	0.04161305	81.91
33	0.04279243	81.75
34	0.04397232	82.99
35	0.04514819	82.08
36	0.04632452	82.77
37	0.04750356	83.17
38	0.04868318	83.96
39	0.04987028	83.76
40	0.05104812	84.12
