epoch	hours	top1Accuracy
1	0.00496861	26.81
2	0.00893961	37.84
3	0.01291142	41.51
4	0.01707154	44.88
5	0.02121246	46.59
6	0.02508983	52.31
7	0.02904977	52.74
8	0.03317586	52.62
9	0.03742082	50.74
10	0.04164301	51.47
11	0.04576621	56.12
12	0.05010413	55.07
13	0.05406974	59.19
14	0.05813726	60.15
15	0.06217943	60.06
16	0.06647716	58.48
17	0.07049787	63.29
18	0.07456918	59.93
19	0.07855551	61.83
20	0.08265731	60.61
21	0.08674633	64.84
22	0.09092149	62.91
23	0.09497891	62.37
24	0.09897235	61.71
25	0.10305017	65.46
26	0.10728429	64.97
27	0.11125256	63.41
28	0.11528400	64.72
29	0.11919590	67.30
30	0.12311604	67.99
31	0.12707391	64.52
32	0.13118040	68.32
33	0.13522373	68.73
34	0.13934161	69.90
35	0.14334109	68.40
36	0.14731632	67.38
37	0.15135277	68.66
38	0.15554518	70.35
39	0.15952442	70.77
40	0.16343989	71.30
