epoch	hours	top1Accuracy
1	0.00345172	33.37
2	0.00614096	36.27
3	0.00885907	38.14
4	0.01154269	52.39
5	0.01422921	53.01
6	0.01695059	39.20
7	0.01963686	52.03
8	0.02236139	51.72
9	0.02504910	40.33
10	0.02773809	51.28
11	0.03046328	54.03
12	0.03315375	46.26
13	0.03587768	52.08
14	0.03856774	40.83
15	0.04125604	65.38
16	0.04398239	65.05
17	0.04667334	69.92
18	0.04939602	71.60
19	0.05208664	75.71
20	0.05477918	73.55
21	0.05750438	76.36
22	0.06019417	73.46
23	0.06291894	54.63
24	0.06560946	60.96
25	0.06830050	72.48
26	0.07102766	62.67
27	0.07371797	59.21
28	0.07644431	71.32
29	0.07913419	79.65
30	0.08182537	70.26
31	0.08455205	68.70
32	0.08724230	81.64
33	0.08996734	77.50
34	0.09266108	81.95
35	0.09535297	78.00
36	0.09807916	86.40
37	0.10077217	87.88
38	0.10349766	79.19
39	0.10618915	87.98
40	0.10887982	87.17
41	0.11160579	90.23
42	0.11429713	87.95
43	0.11702348	90.18
44	0.11971729	90.66
45	0.12241035	90.86
46	0.12514148	90.76
47	0.12783581	91.19
48	0.13056737	91.47
49	0.13326403	91.67
50	0.13595910	91.77
