epoch	hours	top1Accuracy
1	0.00266778	39.66
2	0.00476752	64.79
3	0.00674190	61.37
4	0.00868264	77.41
5	0.01066662	72.59
6	0.01267601	78.86
7	0.01468423	79.37
8	0.01665694	75.05
9	0.01865711	81.27
10	0.02059282	70.45
11	0.02252864	82.35
12	0.02446110	80.19
13	0.02639423	81.24
14	0.02849217	80.78
15	0.03048644	80.50
16	0.03250236	79.22
17	0.03456810	79.05
18	0.03648821	82.07
19	0.03842928	80.05
20	0.04046597	84.18
21	0.04242854	82.15
22	0.04444829	81.69
23	0.04646709	82.73
24	0.04839513	84.42
25	0.05046055	84.25
26	0.05227778	83.80
27	0.05428336	85.89
28	0.05621136	84.69
29	0.05815965	86.95
30	0.06010483	85.78
31	0.06204245	86.10
32	0.06401376	87.77
33	0.06596165	84.94
34	0.06785624	84.94
35	0.06981730	85.56
36	0.07181483	86.54
37	0.07375741	86.56
38	0.07567838	84.45
39	0.07771388	86.73
40	0.07964966	89.31
41	0.08165449	88.41
42	0.08358526	88.77
43	0.08565040	84.79
44	0.08762812	85.42
45	0.08959722	89.85
46	0.09154826	89.10
47	0.09346892	89.06
48	0.09550482	90.54
49	0.09749095	89.88
50	0.09962475	87.86
51	0.10156078	90.26
52	0.10355563	91.09
53	0.10551691	91.43
54	0.10747477	91.81
55	0.10948757	91.80
56	0.11155315	91.82
57	0.11360679	92.41
58	0.11554031	93.19
59	0.11746661	93.58
60	0.11944048	93.82
