epoch	hours	top1Accuracy
1	0.00660837	12.44
2	0.01185593	10.03
3	0.01733855	10.20
4	0.02258118	12.94
5	0.02777146	11.72
6	0.03312015	10.39
7	0.03834065	15.70
8	0.04386454	19.04
9	0.04906045	12.18
10	0.05424065	15.48
11	0.05946825	16.97
12	0.06458842	21.85
13	0.07010367	20.05
14	0.07521836	18.18
15	0.08029678	18.21
16	0.08543064	18.55
17	0.09068679	27.60
18	0.09588862	23.40
19	0.10112608	27.67
20	0.10626088	25.79
21	0.11137311	19.69
22	0.11657505	31.85
23	0.12453697	40.18
24	0.13358293	43.47
25	0.14241933	46.50
