epoch	hours	top1Accuracy
1	0.00444980	38.67
2	0.00876070	44.11
3	0.01287439	44.71
4	0.01725947	42.12
5	0.02121117	45.63
6	0.02541596	48.49
7	0.02954841	42.82
8	0.03367817	38.42
9	0.03783480	49.89
10	0.04225911	53.28
11	0.04618109	42.67
12	0.05035549	51.41
13	0.05473467	53.07
14	0.05924574	48.62
15	0.06338308	57.88
16	0.06767908	69.98
17	0.07194363	63.54
18	0.07612308	57.41
19	0.08022099	62.43
20	0.08452519	62.61
21	0.08902803	69.05
22	0.09316225	50.67
23	0.09762361	70.47
24	0.10172561	66.10
25	0.10619020	64.08
26	0.11052341	74.07
27	0.11473401	62.51
28	0.11892624	66.28
29	0.12313724	73.30
30	0.12750990	74.64
31	0.13188326	73.78
32	0.13608521	68.85
33	0.14027783	75.71
34	0.14440737	70.95
35	0.14889126	77.78
36	0.15305500	76.16
37	0.15719204	80.27
38	0.16131503	79.11
39	0.16561456	81.85
40	0.16975345	83.06
