epoch	hours	top1Accuracy
1	0.00273601	38.84
2	0.00394871	57.07
3	0.00513528	51.19
4	0.00631753	66.73
5	0.00750489	76.86
6	0.00870282	74.71
7	0.00991445	72.97
8	0.01109509	74.25
9	0.01228509	73.80
10	0.01352651	72.72
11	0.01470742	76.11
12	0.01589424	73.47
13	0.01707591	78.62
14	0.01825200	71.51
15	0.01943037	66.78
16	0.02062229	78.47
17	0.02180511	75.33
18	0.02298645	78.22
19	0.02416541	76.85
20	0.02535102	72.84
21	0.02653634	62.87
22	0.02771643	59.05
23	0.02890286	72.62
24	0.03009101	66.86
25	0.03127312	64.97
26	0.03245913	65.91
27	0.03364157	50.66
28	0.03482222	61.09
29	0.03600119	59.91
30	0.03719624	64.10
31	0.03838429	65.12
32	0.03957327	55.49
33	0.04075736	60.18
34	0.04194095	60.90
35	0.04314107	35.47
36	0.04432322	53.96
37	0.04551530	56.94
38	0.04670380	56.88
39	0.04788461	51.76
40	0.04906891	24.05
41	0.05026667	54.79
42	0.05144645	57.75
43	0.05263066	56.22
44	0.05381241	51.26
45	0.05499895	53.41
46	0.05618216	55.13
47	0.05736227	51.86
48	0.05855140	50.92
49	0.05973154	52.81
50	0.06090917	51.55
51	0.06209667	50.32
52	0.06327628	49.10
53	0.06445540	49.17
54	0.06564052	49.16
55	0.06682052	48.88
56	0.06800373	47.37
57	0.06919253	47.72
58	0.07037243	47.26
59	0.07155771	47.23
60	0.07273651	47.34
