epoch	hours	top1Accuracy
1	0.00461359	35.37
2	0.00733612	26.58
3	0.01002483	29.49
4	0.01271319	17.64
5	0.01540321	10.41
6	0.01809164	13.33
7	0.02078018	10.00
8	0.02347282	10.51
9	0.02616240	13.55
10	0.02885053	19.56
11	0.03211137	10.54
12	0.03479351	10.04
13	0.03747258	11.23
14	0.04014926	10.35
15	0.04282498	12.48
16	0.04550168	10.13
17	0.04817902	12.97
18	0.05085685	11.06
19	0.05353468	16.22
20	0.05621092	12.31
21	0.05942513	22.70
22	0.06209029	11.38
23	0.06475365	17.71
24	0.06741577	13.42
25	0.07007820	21.19
26	0.07273879	18.19
27	0.07539837	14.28
28	0.07805538	15.32
29	0.08071113	28.11
30	0.08336718	14.15
31	0.08651988	38.30
32	0.08917059	20.84
33	0.09182039	17.67
34	0.09446982	28.33
35	0.09711956	21.52
36	0.09976968	22.37
37	0.10242191	19.21
38	0.10507169	18.29
39	0.10772421	19.60
40	0.11037397	24.19
41	0.11360739	40.99
42	0.11625160	33.64
43	0.11889602	17.10
44	0.12154079	37.21
45	0.12418810	19.10
46	0.12683153	38.14
47	0.12948417	21.59
48	0.13213163	43.07
49	0.13477617	17.92
50	0.13742318	39.05
