epoch	hours	top1Accuracy
1	0.00540689	35.42
2	0.00657908	48.24
3	0.00777016	44.79
4	0.00894483	54.20
5	0.01012244	71.00
6	0.01130913	75.31
7	0.01248572	73.99
8	0.01366699	69.48
9	0.01488541	78.64
10	0.01606556	82.03
11	0.01724512	82.44
12	0.01844335	76.56
13	0.01962934	82.34
14	0.02081856	75.06
15	0.02199993	81.22
16	0.02318422	77.30
17	0.02438017	80.09
18	0.02556101	81.84
19	0.02674344	70.85
20	0.02793571	86.31
21	0.02911541	81.18
22	0.03029704	81.76
23	0.03148864	85.09
24	0.03266866	81.03
25	0.03384815	86.01
26	0.03504346	82.01
27	0.03624337	86.47
28	0.03742929	87.06
29	0.03861366	82.38
30	0.03979185	82.57
31	0.04098457	84.13
32	0.04216761	86.40
33	0.04334936	86.41
34	0.04454574	87.78
35	0.04573201	85.58
36	0.04691634	81.09
37	0.04811348	83.64
38	0.04930677	84.12
39	0.05049546	87.57
40	0.05168219	83.67
41	0.05286393	85.01
42	0.05404872	81.19
43	0.05523451	85.35
44	0.05641819	84.59
45	0.05763738	87.57
46	0.05881901	87.01
47	0.06000112	84.72
48	0.06118989	85.48
49	0.06237145	86.85
50	0.06355342	84.84
51	0.06474507	82.73
52	0.06592338	87.42
53	0.06710375	86.02
54	0.06829019	86.83
55	0.06947140	87.68
56	0.07065100	85.98
57	0.07183084	84.63
58	0.07301285	83.45
59	0.07420006	87.44
60	0.07538177	88.35
61	0.07656900	88.57
62	0.07775975	86.26
63	0.07896342	87.82
64	0.08014850	87.13
65	0.08133782	87.16
66	0.08251656	86.53
67	0.08369727	86.97
68	0.08489537	87.82
69	0.08607716	88.45
70	0.08725915	86.74
71	0.08844055	87.16
72	0.08962125	88.69
73	0.09080634	86.92
74	0.09198842	87.40
75	0.09316973	87.30
76	0.09435809	88.71
77	0.09553768	88.76
78	0.09671841	88.25
79	0.09790713	87.44
80	0.09908797	87.99
81	0.10027079	88.30
82	0.10146468	88.11
83	0.10264815	89.21
84	0.10383092	86.87
85	0.10501302	85.61
86	0.10619892	89.05
87	0.10739258	88.39
88	0.10857446	90.13
89	0.10976037	89.58
90	0.11095223	89.96
91	0.11213095	89.71
92	0.11331389	89.71
93	0.11449944	90.16
94	0.11567945	90.19
95	0.11685726	90.07
96	0.11804064	90.39
97	0.11922882	90.46
98	0.12041167	90.78
99	0.12159920	90.88
100	0.12278043	90.83
