epoch	hours	top1Accuracy
1	0.00538920	32.47
2	0.00656335	54.03
3	0.00774963	58.33
4	0.00892558	64.09
5	0.01010377	73.65
6	0.01128992	72.90
7	0.01246997	77.04
8	0.01365156	74.56
9	0.01484396	82.03
10	0.01602482	79.03
11	0.01720532	81.94
12	0.01838750	77.46
13	0.01956913	83.21
14	0.02074932	72.86
15	0.02193145	79.84
16	0.02311393	77.29
17	0.02430503	82.60
18	0.02549399	83.44
19	0.02667322	79.41
20	0.02786238	84.03
21	0.02904285	78.49
22	0.03022663	85.13
23	0.03141806	85.71
24	0.03260329	86.37
25	0.03378796	82.99
26	0.03497985	84.82
27	0.03616312	86.77
28	0.03734637	86.26
29	0.03852899	84.66
30	0.03971123	86.38
31	0.04090222	85.59
32	0.04208321	86.72
33	0.04326548	85.95
34	0.04446172	88.47
35	0.04564231	88.49
36	0.04683950	88.52
37	0.04803358	89.39
38	0.04921391	88.77
39	0.05039705	90.07
40	0.05158396	90.36
