epoch	hours	top1Accuracy
1	0.00521038	30.27
2	0.00933668	42.06
3	0.01362355	45.15
4	0.01782977	46.60
5	0.02202395	48.23
6	0.02621230	48.41
7	0.03039920	53.75
8	0.03460359	57.31
9	0.03882914	54.95
10	0.04311631	56.93
11	0.04738817	59.37
12	0.05168918	56.72
13	0.05590756	57.22
14	0.06017073	60.26
15	0.06443345	64.21
16	0.06866250	63.95
17	0.07274245	66.36
18	0.07690980	65.78
19	0.08108611	67.83
20	0.08538289	64.70
21	0.08917379	69.60
22	0.09338060	65.20
23	0.09768993	62.02
24	0.10206445	70.93
25	0.10631619	68.29
26	0.11063037	69.33
27	0.11491419	68.54
28	0.11923281	70.47
29	0.12345294	66.10
30	0.12771307	72.46
31	0.13191796	67.98
32	0.13617136	70.92
33	0.14036912	70.32
34	0.14455446	67.68
35	0.14891268	70.88
36	0.15327496	68.47
37	0.15742240	70.46
38	0.16157765	74.64
39	0.16580616	70.86
40	0.17018742	72.89
41	0.17434475	76.80
42	0.17879357	74.01
43	0.18287098	74.74
44	0.18717886	74.18
45	0.19126746	69.82
46	0.19536197	77.96
47	0.19949642	77.24
48	0.20371081	78.62
49	0.20791917	77.07
50	0.21178926	79.08
51	0.21564451	79.72
52	0.21984714	81.19
53	0.22395122	78.67
54	0.22826080	81.98
55	0.23245764	81.77
56	0.23628138	82.60
57	0.24037998	83.11
58	0.24450021	83.08
59	0.24874600	84.06
60	0.25286055	84.08
