epoch	hours	top1Accuracy
1	0.00346932	24.82
2	0.00616963	36.04
3	0.00889471	36.77
4	0.01158473	29.65
5	0.01427848	27.83
6	0.01700521	27.80
7	0.01969973	25.10
8	0.02243159	27.75
9	0.02512590	38.29
10	0.02782125	46.46
11	0.03055235	48.16
12	0.03324784	53.71
13	0.03598383	41.99
14	0.03867778	58.90
15	0.04137103	56.50
16	0.04409766	68.99
17	0.04679142	68.85
18	0.04951975	74.51
19	0.05221850	74.22
20	0.05491747	76.15
21	0.05765163	75.79
22	0.06035380	75.32
23	0.06308882	76.06
24	0.06578423	78.41
25	0.06848031	72.82
26	0.07121417	75.98
27	0.07391549	79.13
28	0.07665051	78.02
29	0.07935335	80.04
30	0.08205512	81.74
31	0.08479281	80.76
32	0.08749716	81.71
33	0.09023118	81.88
34	0.09293193	82.37
35	0.09563353	81.78
36	0.09836602	82.97
37	0.10106670	79.66
38	0.10379951	82.09
39	0.10649588	82.51
40	0.10919205	83.28
41	0.11192171	83.72
42	0.11461871	83.47
43	0.11735007	84.23
44	0.12005361	84.68
45	0.12275480	84.45
46	0.12549210	84.79
47	0.12819323	85.17
48	0.13092745	84.98
49	0.13362706	85.27
50	0.13632863	85.24
