epoch	hours	top1Accuracy
1	0.00395312	37.65
2	0.00529082	52.60
3	0.00663024	65.52
4	0.00796852	66.38
5	0.00930618	75.46
6	0.01064426	68.60
7	0.01198316	73.34
8	0.01332230	76.37
9	0.01466397	71.40
10	0.01600456	75.33
11	0.01734531	71.97
12	0.01868630	79.71
13	0.02002874	75.91
14	0.02137168	70.17
15	0.02271473	74.60
16	0.02405765	68.50
17	0.02540481	70.63
18	0.02674824	44.04
19	0.02809196	74.68
20	0.02943413	64.39
21	0.03077686	67.97
22	0.03211850	54.13
23	0.03346005	67.42
24	0.03480238	70.23
25	0.03614515	56.75
26	0.03748753	46.73
27	0.03882920	62.32
28	0.04017028	60.28
29	0.04151132	44.76
30	0.04285240	53.10
31	0.04419322	52.49
32	0.04553502	46.01
33	0.04687523	51.54
34	0.04821549	39.22
35	0.04955526	51.94
36	0.05089504	47.50
37	0.05223376	41.42
38	0.05357228	41.16
39	0.05491158	37.84
40	0.05624893	35.82
41	0.05758490	32.94
42	0.05892025	31.54
43	0.06025506	30.84
44	0.06158941	29.76
45	0.06292152	30.05
46	0.06425187	29.47
47	0.06557887	30.35
48	0.06690894	28.68
49	0.06823452	29.48
50	0.06955861	27.97
51	0.07088266	26.44
52	0.07220428	26.95
53	0.07352515	25.86
54	0.07484749	25.36
55	0.07616558	25.03
56	0.07748180	22.66
57	0.07879614	22.19
58	0.08011014	21.38
59	0.08142166	20.67
60	0.08273276	19.08
61	0.08404188	18.20
62	0.08535067	17.48
63	0.08665741	16.46
64	0.08796315	15.75
65	0.08926886	15.00
66	0.09057267	14.62
67	0.09187520	14.06
68	0.09317779	13.90
69	0.09447904	13.57
70	0.09578006	13.30
71	0.09708039	13.14
72	0.09837890	12.46
73	0.09967918	11.70
74	0.10097480	11.34
75	0.10227077	12.11
76	0.10356516	12.77
77	0.10485786	13.22
78	0.10614868	12.28
79	0.10743850	10.65
80	0.10872688	10.05
81	0.11001531	10.00
82	0.11130357	10.00
83	0.11259004	10.00
84	0.11387551	10.00
85	0.11516067	10.00
86	0.11644507	10.00
87	0.11772938	10.00
88	0.11901257	10.00
89	0.12029590	10.00
90	0.12157934	10.00
91	0.12286090	10.00
92	0.12414366	10.00
93	0.12542500	10.00
94	0.12670609	10.00
95	0.12798644	10.00
96	0.12926734	10.00
97	0.13054676	10.00
98	0.13182666	10.00
99	0.13310890	10.00
100	0.13438766	10.00
