epoch	hours	top1Accuracy
1	0.00529810	19.58
2	0.00647004	30.18
3	0.00763944	34.45
4	0.00880214	37.55
5	0.00996632	40.64
6	0.01114254	43.16
7	0.01230926	44.28
8	0.01347992	46.74
9	0.01465878	46.28
10	0.01582580	47.15
11	0.01699691	49.35
12	0.01817701	50.70
13	0.01934778	50.99
14	0.02051898	50.31
15	0.02169133	52.90
16	0.02286252	53.39
17	0.02406095	53.15
18	0.02528664	52.74
19	0.02645655	52.36
20	0.02764397	54.20
21	0.02881637	54.94
22	0.02998876	55.45
23	0.03116382	55.75
24	0.03233573	55.93
25	0.03351000	55.84
26	0.03469130	56.25
27	0.03586860	56.49
28	0.03704246	56.74
29	0.03821551	56.32
30	0.03938762	57.11
31	0.04056524	56.93
32	0.04173827	57.24
33	0.04291213	57.18
34	0.04409454	57.51
35	0.04527100	57.63
36	0.04647500	57.26
37	0.04766009	57.61
38	0.04883411	58.18
39	0.05000909	58.00
40	0.05118899	58.02
