epoch	hours	top1Accuracy
1	0.00202072	21.77
2	0.00339515	29.25
3	0.00477435	33.81
4	0.00615307	38.74
5	0.00753083	43.45
6	0.00890907	46.53
7	0.01029000	49.13
8	0.01167093	51.50
9	0.01305454	53.25
10	0.01443616	53.93
11	0.01581925	55.01
12	0.01720191	57.00
13	0.01858698	58.20
14	0.01997114	59.31
15	0.02135548	59.90
16	0.02273752	60.37
17	0.02412106	61.69
18	0.02550318	61.88
19	0.02688625	62.37
20	0.02827279	63.41
21	0.02965734	63.49
22	0.03104084	64.29
23	0.03242488	64.35
24	0.03380721	64.60
25	0.03518806	65.27
26	0.03657130	65.66
27	0.03795770	65.97
28	0.03934405	66.18
29	0.04072763	66.54
30	0.04211339	67.07
31	0.04349743	67.00
32	0.04488166	67.52
33	0.04626568	67.19
34	0.04764858	67.99
35	0.04903193	68.04
36	0.05041558	68.73
37	0.05179892	68.19
38	0.05318108	68.60
39	0.05456539	68.78
40	0.05594949	68.96
41	0.05733317	69.28
42	0.05871703	69.33
43	0.06010302	69.09
44	0.06148444	69.13
45	0.06286818	69.28
46	0.06425320	68.97
47	0.06564060	69.87
48	0.06702266	70.03
49	0.06840589	69.78
50	0.06979112	70.13
51	0.07117261	70.71
52	0.07255628	70.55
53	0.07393966	70.79
54	0.07532263	70.73
55	0.07670542	70.87
56	0.07808984	70.86
57	0.07947986	71.06
58	0.08086331	71.24
59	0.08224542	71.01
60	0.08362773	71.33
61	0.08501079	71.76
62	0.08639412	71.60
63	0.08777674	71.65
64	0.08915801	71.18
65	0.09054282	71.86
66	0.09192802	71.89
67	0.09331038	71.65
68	0.09469409	72.24
69	0.09607719	72.01
70	0.09745930	72.24
71	0.09884265	71.80
72	0.10022629	72.23
73	0.10161048	72.20
74	0.10299458	72.28
75	0.10437844	72.41
76	0.10575932	72.42
77	0.10714726	72.14
78	0.10853040	72.45
79	0.10991452	72.39
80	0.11129857	72.59
81	0.11268190	72.66
82	0.11406511	72.55
83	0.11544887	72.52
84	0.11683221	72.86
85	0.11821580	72.65
86	0.11959901	72.56
87	0.12098642	72.62
88	0.12237183	72.63
89	0.12375551	72.77
90	0.12514123	72.79
91	0.12652475	73.01
92	0.12790930	73.23
93	0.12929341	73.02
94	0.13067729	72.90
95	0.13205997	73.08
96	0.13344333	73.07
97	0.13482510	73.00
98	0.13620855	73.03
99	0.13759298	73.00
100	0.13897925	72.96
