epoch	hours	top1Accuracy
1	0.00353162	22.05
2	0.00622320	19.08
3	0.00892037	13.37
4	0.01161262	14.66
5	0.01431494	11.23
6	0.01700759	13.61
7	0.01970277	13.99
8	0.02239852	16.33
9	0.02509576	15.24
10	0.02779259	19.34
11	0.03052130	12.78
12	0.03321534	10.47
13	0.03590802	22.74
14	0.03859777	19.53
15	0.04128500	10.00
16	0.04397018	10.07
17	0.04665240	15.38
18	0.04932773	10.00
19	0.05199648	10.00
20	0.05465412	10.00
21	0.05733394	10.00
22	0.05997333	10.00
23	0.06260131	10.00
24	0.06521890	10.00
25	0.06784262	10.00
26	0.07045156	10.00
27	0.07306524	10.00
28	0.07567134	10.00
29	0.07827044	10.00
30	0.08084667	10.00
31	0.08347071	10.00
32	0.08605199	10.00
33	0.08862783	10.00
34	0.09120471	10.00
35	0.09378717	10.00
36	0.09638706	10.00
37	0.09896318	10.00
38	0.10153948	10.00
39	0.10411225	10.00
40	0.10668675	10.00
41	0.10928441	10.00
42	0.11188869	10.00
43	0.11446517	10.00
44	0.11703790	10.00
45	0.11961210	10.00
46	0.12218340	10.00
47	0.12476622	10.00
48	0.12733529	10.00
49	0.12990965	10.00
50	0.13247346	10.00
