epoch	hours	top1Accuracy
1	0.00517840	23.05
2	0.00938251	34.11
3	0.01366601	39.35
4	0.01768065	40.86
5	0.02180628	48.56
6	0.02584121	51.73
7	0.02957049	55.95
8	0.03357284	58.54
9	0.03758382	57.82
10	0.04159871	60.80
11	0.04564501	57.09
12	0.04945362	62.12
13	0.05342424	59.91
14	0.05772642	66.56
15	0.06149419	65.62
16	0.06545520	64.53
17	0.06919393	61.73
18	0.07310195	68.97
19	0.07702798	68.73
20	0.08112820	66.59
21	0.08519243	70.30
22	0.08945028	72.00
23	0.09356078	71.46
24	0.09787163	72.10
25	0.10201643	70.81
26	0.10607035	71.53
27	0.10997378	71.21
28	0.11391519	70.72
29	0.11811796	72.37
30	0.12236019	72.77
31	0.12629089	71.80
32	0.13022006	72.41
33	0.13428836	73.99
34	0.13827659	74.52
35	0.14255506	74.49
36	0.14690586	74.71
37	0.15095635	72.90
38	0.15492017	72.81
39	0.15882558	74.38
40	0.16275379	75.39
41	0.16686221	75.85
42	0.17080178	73.75
43	0.17478374	75.82
44	0.17875636	73.96
45	0.18273293	74.78
46	0.18669227	75.14
47	0.19069047	76.15
48	0.19463364	76.13
49	0.19886131	75.97
50	0.20326867	76.17
51	0.20727739	77.20
52	0.21117943	77.14
53	0.21531726	77.46
54	0.21959064	77.85
55	0.22394242	77.67
56	0.22792036	77.78
57	0.23193758	77.62
58	0.23597990	78.16
59	0.24043498	78.27
60	0.24440930	78.13
