epoch	hours	top1Accuracy
1	0.00515327	29.73
2	0.00953259	40.79
3	0.01388487	47.70
4	0.01803170	55.95
5	0.02234099	62.55
6	0.02666106	61.81
7	0.03102804	69.87
8	0.03517921	72.21
9	0.03941871	76.23
10	0.04361416	78.36
11	0.04771992	77.14
12	0.05201259	80.38
13	0.05625086	77.75
14	0.06039237	77.16
15	0.06451288	80.12
16	0.06880059	82.72
17	0.07298979	79.65
18	0.07712889	82.97
19	0.08142262	80.92
20	0.08588721	83.08
21	0.09030530	83.87
22	0.09438749	85.78
23	0.09880469	82.89
24	0.10296116	82.77
25	0.10736419	86.16
26	0.11165421	86.24
27	0.11587703	84.99
28	0.12008224	86.29
29	0.12440860	86.79
30	0.12859303	86.13
31	0.13288586	87.44
32	0.13717083	83.30
33	0.14139419	86.80
34	0.14574858	83.76
35	0.14993897	88.10
36	0.15401830	87.95
37	0.15841550	86.74
38	0.16264121	87.88
39	0.16692895	89.80
40	0.17121005	88.25
41	0.17560044	88.99
42	0.17994282	87.83
43	0.18415987	88.83
44	0.18831258	88.44
45	0.19265790	89.27
46	0.19686986	88.56
47	0.20097962	88.90
48	0.20520767	88.78
49	0.20955867	87.87
50	0.21410345	89.69
51	0.21858225	87.82
52	0.22311724	89.70
53	0.22729205	90.03
54	0.23148242	90.17
55	0.23567932	89.25
56	0.23997732	89.27
57	0.24439081	89.36
58	0.24856940	90.07
59	0.25296394	89.25
60	0.25722457	88.65
61	0.26136650	90.44
62	0.26561009	89.89
63	0.26988031	90.07
64	0.27422069	89.84
65	0.27847700	90.25
66	0.28247356	90.12
67	0.28692107	90.19
68	0.29106413	90.86
69	0.29573756	90.91
70	0.30013827	90.32
71	0.30435836	90.75
72	0.30886244	90.65
73	0.31300129	90.98
74	0.31716707	90.22
75	0.32159794	90.24
76	0.32572387	91.11
77	0.32980646	90.72
78	0.33392552	91.27
79	0.33810758	91.09
80	0.34238787	91.23
81	0.34704088	91.38
82	0.35116495	90.69
83	0.35550007	91.27
84	0.35973962	91.45
85	0.36405146	91.37
86	0.36818861	91.30
87	0.37233566	91.69
88	0.37651310	91.58
89	0.38058801	91.47
90	0.38467384	91.39
91	0.38872430	91.55
92	0.39278600	91.55
93	0.39689193	91.64
94	0.40103359	91.89
95	0.40516288	91.87
96	0.40928166	91.82
97	0.41341121	91.80
98	0.41754156	91.87
99	0.42162266	91.90
100	0.42576484	91.87
