epoch	hours	top1Accuracy
1	0.00518605	33.86
2	0.00960470	48.49
3	0.01435946	60.64
4	0.01843083	67.27
5	0.02253844	67.90
6	0.02684363	70.13
7	0.03100052	74.14
8	0.03529815	73.61
9	0.03978385	72.45
10	0.04397572	63.62
11	0.04855803	76.66
12	0.05306108	74.72
13	0.05737380	73.05
14	0.06168905	77.90
15	0.06599343	78.48
16	0.07034162	73.82
17	0.07491914	74.37
18	0.07926905	78.69
19	0.08355941	72.77
20	0.08798892	80.60
21	0.09241299	81.13
22	0.09672670	82.67
23	0.10103487	77.91
24	0.10524859	81.69
25	0.10952001	79.02
26	0.11370728	80.80
27	0.11790213	83.06
28	0.12199597	82.35
29	0.12636094	82.69
30	0.13042156	83.70
31	0.13472041	82.31
32	0.13879899	85.47
33	0.14340259	84.06
34	0.14791450	85.73
35	0.15258608	87.62
36	0.15668504	87.34
37	0.16107891	88.60
38	0.16539594	88.58
39	0.16934051	89.60
40	0.17371201	90.06
