epoch	hours	top1Accuracy
1	0.00185919	46.01
2	0.00349092	63.81
3	0.00564295	76.21
4	0.00757459	76.01
5	0.00938035	78.40
6	0.01152371	81.75
7	0.01322840	82.84
8	0.01446567	80.79
9	0.01636501	78.94
10	0.01854076	79.50
11	0.02012823	82.13
12	0.02224421	82.83
13	0.02437217	80.88
14	0.02584689	83.40
15	0.02712986	82.37
16	0.02923094	84.37
17	0.03140601	85.22
18	0.03281236	84.78
19	0.03495932	85.12
20	0.03710297	80.77
21	0.03835664	84.53
22	0.03974978	85.79
23	0.04189983	84.43
24	0.04404727	74.70
25	0.04549159	77.99
26	0.04763506	79.37
27	0.04972894	83.47
28	0.05089842	85.91
29	0.05265427	87.08
30	0.05479180	83.78
31	0.05657815	83.87
32	0.05830145	82.92
33	0.06046277	86.28
34	0.06225393	86.65
35	0.06345009	84.11
36	0.06542424	85.99
37	0.06758673	84.74
38	0.06907495	82.03
39	0.07102129	83.49
40	0.07318549	86.74
41	0.07464527	84.97
42	0.07601591	85.32
43	0.07820704	84.57
44	0.08030030	85.57
45	0.08173875	83.23
46	0.08390747	85.82
47	0.08596059	85.70
48	0.08720624	88.83
49	0.08890514	85.85
50	0.09104963	83.34
51	0.09287633	82.67
52	0.09459955	89.09
53	0.09676370	86.54
54	0.09854298	87.81
55	0.09974625	87.84
56	0.10164611	87.97
57	0.10382176	90.18
58	0.10535649	87.25
59	0.10711977	89.17
60	0.10922764	88.45
61	0.11100847	88.85
62	0.11227680	88.06
63	0.11416634	88.58
64	0.11630084	88.19
65	0.11793104	87.61
66	0.11969668	89.89
67	0.12183107	88.50
68	0.12359533	90.95
69	0.12479963	90.60
70	0.12674267	90.44
71	0.12891142	90.82
72	0.13040494	89.96
73	0.13231334	91.35
74	0.13442000	92.44
75	0.13605327	89.19
76	0.13733989	91.02
77	0.13941337	91.00
78	0.14153106	90.68
79	0.14293127	91.89
80	0.14484435	91.75
81	0.14701584	90.73
82	0.14850041	92.92
83	0.14977593	90.37
84	0.15184855	92.12
85	0.15400000	92.52
86	0.15543573	92.96
87	0.15747311	93.01
88	0.15959611	92.32
89	0.16100291	93.68
90	0.16228693	93.39
91	0.16420948	94.23
92	0.16635183	94.17
93	0.16792755	94.14
94	0.16987679	94.57
95	0.17201499	94.78
96	0.17351107	94.88
97	0.17479426	95.00
98	0.17685673	95.11
99	0.17900123	95.20
100	0.18044852	95.18
