epoch	hours	top1Accuracy
1	0.01468676	37.02
2	0.01594504	60.32
3	0.01712063	59.85
4	0.01828888	63.95
5	0.01945802	72.12
6	0.02064840	65.60
7	0.02181804	73.30
8	0.02298950	74.38
9	0.02416740	72.55
10	0.02534282	77.72
11	0.02651688	78.07
12	0.02770158	73.95
13	0.02887735	79.15
14	0.03005522	76.89
15	0.03123303	74.02
16	0.03245872	75.82
17	0.03364777	75.19
18	0.03484967	73.73
19	0.03604943	79.12
20	0.03723353	74.36
21	0.03841508	65.47
22	0.03962055	72.02
23	0.04080756	69.05
24	0.04200393	72.43
25	0.04318542	70.66
26	0.04437066	78.28
27	0.04558041	68.70
28	0.04676177	73.78
29	0.04794363	74.81
30	0.04918503	66.05
31	0.05037430	76.80
32	0.05155466	76.32
33	0.05279111	77.24
34	0.05397851	74.79
35	0.05516075	73.01
36	0.05641191	75.76
37	0.05759834	78.06
38	0.05877943	79.99
39	0.05997986	80.29
40	0.06116539	80.92
