epoch	hours	top1Accuracy
1	0.01520209	34.46
2	0.01641734	41.80
3	0.01759116	43.24
4	0.01876283	42.59
5	0.01995832	48.34
6	0.02114139	47.96
7	0.02235476	47.97
8	0.02352690	47.42
9	0.02470712	46.19
10	0.02593700	47.20
11	0.02711003	50.50
12	0.02829067	50.48
13	0.02952181	47.17
14	0.03070210	46.42
15	0.03187862	48.56
16	0.03310779	46.65
17	0.03429008	43.69
18	0.03546952	39.35
19	0.03666177	33.26
20	0.03784523	30.20
21	0.03902095	26.09
22	0.04021619	25.07
23	0.04139643	22.63
24	0.04257454	21.28
25	0.04377937	21.41
26	0.04496097	20.85
27	0.04614202	20.36
28	0.04739731	20.17
29	0.04857211	19.70
30	0.04974946	19.39
31	0.05097533	18.76
32	0.05215102	17.77
33	0.05336126	16.56
34	0.05454450	15.34
35	0.05571880	13.39
36	0.05693748	10.65
37	0.05811888	9.98
38	0.05929156	9.87
39	0.06050183	9.56
40	0.06168230	9.55
