epoch	hours	top1Accuracy
1	0.00302137	35.66
2	0.00538736	34.10
3	0.00779277	36.00
4	0.01015084	47.57
5	0.01251187	30.80
6	0.01487775	11.55
7	0.01724953	18.74
8	0.01961212	46.26
9	0.02198728	41.71
10	0.02433805	32.25
11	0.02669548	32.61
12	0.02909377	29.21
13	0.03145850	63.02
14	0.03381043	62.54
15	0.03617100	36.24
16	0.03854297	38.01
17	0.04089801	38.66
18	0.04325890	58.90
19	0.04564383	31.59
20	0.04799317	53.50
21	0.05044537	52.29
22	0.05280391	69.45
23	0.05515892	65.79
24	0.05753044	45.81
25	0.05992235	80.25
26	0.06227133	84.44
27	0.06464151	80.92
28	0.06703707	90.37
29	0.06937976	92.85
30	0.07179247	94.06
