epoch	hours	top1Accuracy
1	0.00200851	18.91
2	0.00334657	29.54
3	0.00468659	33.17
4	0.00602653	38.12
5	0.00736694	43.43
6	0.00870886	48.07
7	0.01005065	50.83
8	0.01139361	52.41
9	0.01273716	55.05
10	0.01408149	57.11
11	0.01542589	59.00
12	0.01677137	60.24
13	0.01811704	61.52
14	0.01946453	62.25
15	0.02081179	62.39
16	0.02215943	64.13
17	0.02350663	64.04
18	0.02485467	65.08
19	0.02620290	65.46
20	0.02755204	64.21
21	0.02890001	66.89
22	0.03024812	67.20
23	0.03159731	66.66
24	0.03294595	68.14
25	0.03429628	68.08
26	0.03564737	68.58
27	0.03699772	69.26
28	0.03834698	69.10
29	0.03969690	68.62
30	0.04104633	69.52
31	0.04239681	69.26
32	0.04374623	70.13
33	0.04509617	69.48
34	0.04644624	70.58
35	0.04779632	69.47
36	0.04914648	70.70
37	0.05049788	70.50
38	0.05184921	71.05
39	0.05320028	71.14
40	0.05454992	70.95
41	0.05590028	70.83
42	0.05725124	71.51
43	0.05860219	71.01
44	0.05995297	71.71
45	0.06130429	70.57
46	0.06265546	71.48
47	0.06400630	72.14
48	0.06535741	72.42
49	0.06670819	72.70
50	0.06805872	72.79
51	0.06940924	72.82
52	0.07076203	72.60
53	0.07211344	72.22
54	0.07346419	72.51
55	0.07481543	72.86
56	0.07616673	72.80
57	0.07751789	72.15
58	0.07886844	72.38
59	0.08021907	72.76
60	0.08157128	72.55
61	0.08292278	72.52
62	0.08427466	72.44
63	0.08562694	73.35
64	0.08697920	73.01
65	0.08833090	73.35
66	0.08968271	72.62
67	0.09103535	73.27
68	0.09238734	73.59
69	0.09373967	73.12
70	0.09509117	73.70
71	0.09644436	73.67
72	0.09779689	73.37
73	0.09915062	73.53
74	0.10050360	73.46
75	0.10185519	73.27
76	0.10320752	73.61
77	0.10455894	73.56
78	0.10591009	73.97
79	0.10726506	73.71
80	0.10861708	73.91
81	0.10996818	73.93
82	0.11132026	73.84
83	0.11267187	73.76
84	0.11402474	73.84
85	0.11537837	73.61
86	0.11673155	73.83
87	0.11808408	73.91
88	0.11943529	73.68
89	0.12078701	73.62
90	0.12213954	73.82
91	0.12349182	73.78
92	0.12484364	73.76
93	0.12619648	73.59
94	0.12754847	73.83
95	0.12889988	73.81
96	0.13025454	73.78
97	0.13160642	73.69
98	0.13296023	73.70
99	0.13431221	73.67
100	0.13566546	73.68
