epoch	hours	top1Accuracy
1	0.00519724	33.83
2	0.00637585	35.60
3	0.00755562	50.17
4	0.00872289	50.48
5	0.00989226	55.89
6	0.01107942	50.56
7	0.01225010	46.77
8	0.01341871	58.39
9	0.01459500	50.74
10	0.01576856	43.73
11	0.01694157	40.20
12	0.01816401	23.03
13	0.01933852	15.04
14	0.02050788	12.76
15	0.02167619	12.36
16	0.02283968	12.36
17	0.02400373	11.81
18	0.02516000	10.00
19	0.02631153	10.00
20	0.02747079	10.00
21	0.02861985	10.00
22	0.02977033	12.64
23	0.03092760	11.77
24	0.03207119	10.00
25	0.03320619	10.00
26	0.03434979	10.00
27	0.03548533	10.00
28	0.03661817	10.00
29	0.03775155	10.00
30	0.03889226	10.00
31	0.04006400	10.00
32	0.04119930	10.00
33	0.04232928	10.00
34	0.04346696	10.00
35	0.04459920	10.00
36	0.04573056	10.00
37	0.04686934	10.00
38	0.04800065	10.00
39	0.04912828	10.00
40	0.05026368	10.00
