epoch	hours	top1Accuracy
1	0.00488049	35.82
2	0.00724049	19.67
3	0.00960964	30.62
4	0.01197554	24.22
5	0.01434006	20.44
6	0.01670489	10.35
7	0.01906415	28.11
8	0.02143185	27.54
9	0.02381548	25.68
10	0.02619037	14.76
11	0.02953555	48.67
12	0.03188686	10.02
13	0.03424807	12.58
14	0.03660879	18.88
15	0.03895516	17.47
16	0.04132422	24.61
17	0.04368355	13.73
18	0.04603144	10.57
19	0.04838929	15.76
20	0.05077338	25.18
21	0.05410010	43.77
22	0.05645436	13.97
23	0.05881425	11.85
24	0.06117438	34.18
25	0.06352362	14.12
26	0.06587994	26.49
27	0.06825384	20.00
28	0.07060259	43.01
29	0.07296173	25.83
30	0.07532536	57.23
