epoch	hours	top1Accuracy
1	0.00495475	18.71
2	0.00734278	26.53
3	0.01053337	12.33
4	0.01289722	31.55
5	0.01527563	31.91
6	0.01850461	21.23
7	0.02085584	27.15
8	0.02417455	10.00
9	0.02655988	16.90
10	0.02891812	15.83
11	0.03211048	15.32
12	0.03448251	27.24
13	0.03767540	9.87
14	0.04002144	33.61
15	0.04236599	19.69
16	0.04559170	31.96
17	0.04794031	30.88
18	0.05111210	29.44
19	0.05344531	36.77
20	0.05578706	20.57
21	0.05896193	42.46
22	0.06129356	36.12
23	0.06438213	29.31
24	0.06675755	31.23
25	0.06915946	36.06
26	0.07235375	44.41
27	0.07473231	34.72
28	0.07801717	26.15
29	0.08036594	23.08
30	0.08271180	21.73
31	0.08591685	24.02
32	0.08828919	58.92
33	0.09170387	14.32
34	0.09407462	39.11
35	0.09644091	36.13
36	0.09975828	23.70
37	0.10217313	33.47
38	0.10546003	32.91
39	0.10779069	48.76
40	0.11017168	34.58
41	0.11335985	38.95
42	0.11570498	39.83
43	0.11906245	24.97
44	0.12139651	59.43
45	0.12384027	53.87
46	0.12713942	55.04
47	0.12948097	76.16
48	0.13274152	71.63
49	0.13512875	82.76
50	0.13751499	83.23
