epoch	hours	top1Accuracy
1	0.00451240	33.27
2	0.00719372	24.41
3	0.00986861	31.74
4	0.01254902	28.76
5	0.01523168	32.43
6	0.01791620	21.63
7	0.02060000	21.64
8	0.02328712	27.46
9	0.02597409	27.99
10	0.02866117	32.45
11	0.03188011	56.30
12	0.03457478	14.69
13	0.03727078	32.70
14	0.03996507	36.41
15	0.04265910	36.76
16	0.04535272	32.74
17	0.04805128	36.13
18	0.05074674	27.30
19	0.05344257	34.08
20	0.05613782	44.98
21	0.05936359	58.31
22	0.06203910	14.40
23	0.06471352	16.36
24	0.06738809	22.39
25	0.07006354	31.97
26	0.07274090	24.51
27	0.07541650	34.32
28	0.07809162	23.75
29	0.08076713	29.97
30	0.08344302	23.15
31	0.08673788	51.91
32	0.08941350	28.58
33	0.09208676	36.19
34	0.09475965	27.82
35	0.09743092	22.90
36	0.10010205	31.43
37	0.10277185	35.06
38	0.10544212	29.55
39	0.10811328	23.61
40	0.11078426	38.87
41	0.11395931	70.86
42	0.11663503	43.49
43	0.11930911	43.95
44	0.12198443	60.51
45	0.12465912	23.57
46	0.12733245	62.28
47	0.13001556	42.02
48	0.13268998	72.75
49	0.13536418	58.27
50	0.13803946	80.21
