epoch	hours	top1Accuracy
1	0.00447853	28.11
2	0.00715977	20.01
3	0.01041872	15.25
4	0.01310115	13.15
5	0.01579718	24.05
6	0.01900683	22.34
7	0.02169361	29.10
8	0.02489785	40.23
9	0.02758279	41.32
10	0.03027210	48.63
11	0.03348089	44.08
12	0.03616772	55.89
13	0.03940208	47.49
14	0.04208937	53.04
15	0.04477696	57.69
16	0.04804333	60.69
17	0.05073181	37.83
18	0.05395604	50.00
19	0.05664052	73.88
20	0.05932437	79.78
21	0.06254395	71.78
22	0.06523066	65.86
23	0.06846915	67.74
24	0.07115381	75.29
25	0.07384046	81.71
26	0.07705745	82.99
27	0.07974173	79.62
28	0.08297542	73.80
29	0.08565524	80.89
30	0.08833502	79.55
31	0.09153356	73.77
32	0.09421735	83.25
33	0.09744415	81.81
34	0.10012343	82.53
35	0.10280583	81.10
36	0.10600768	87.72
37	0.10869621	87.33
38	0.11191450	80.95
39	0.11459654	88.10
40	0.11728105	82.37
41	0.12046620	89.30
42	0.12315031	89.37
43	0.12637724	88.80
44	0.12906094	89.75
45	0.13174387	90.52
46	0.13496024	90.77
47	0.13764243	90.89
48	0.14086137	91.34
49	0.14353888	91.67
50	0.14621968	91.69
