epoch	hours	top1Accuracy
1	0.00476948	41.69
2	0.00878624	58.94
3	0.01308590	61.68
4	0.01703970	73.44
5	0.02141483	64.76
6	0.02552686	69.93
7	0.02996993	72.45
8	0.03427722	73.97
9	0.03850284	76.52
10	0.04286866	67.52
11	0.04695304	70.62
12	0.05102635	76.52
13	0.05524299	71.67
14	0.05919588	73.51
15	0.06283346	74.63
16	0.06722824	69.56
17	0.07149835	77.34
18	0.07556548	79.41
19	0.07978158	66.92
20	0.08405374	72.78
21	0.08817291	77.36
22	0.09250149	73.01
23	0.09650970	82.40
24	0.10050147	78.68
25	0.10456948	77.71
26	0.10867063	82.56
27	0.11270712	73.27
28	0.11721286	74.42
29	0.12143988	68.56
30	0.12596075	79.31
31	0.13009553	77.49
32	0.13461707	75.05
33	0.13913415	72.21
34	0.14368490	78.23
35	0.14776571	79.79
36	0.15182940	80.10
37	0.15612304	80.80
38	0.16055559	79.56
39	0.16477370	77.83
40	0.16892073	80.18
41	0.17304078	80.37
42	0.17709050	77.41
43	0.18116151	84.04
44	0.18564363	82.68
45	0.18969779	82.09
46	0.19414772	79.16
47	0.19839810	76.49
48	0.20257295	80.26
49	0.20689037	76.67
50	0.21080050	79.04
51	0.21485860	82.39
52	0.21910494	78.20
53	0.22327698	82.89
54	0.22733852	83.46
55	0.23143126	81.62
56	0.23569262	80.05
57	0.23977696	85.32
58	0.24425633	73.36
59	0.24892446	77.10
60	0.25305071	83.77
61	0.25714714	85.96
62	0.26113909	85.09
63	0.26534514	84.24
64	0.26955049	86.09
65	0.27371939	78.23
66	0.27795636	79.04
67	0.28232878	86.19
68	0.28655121	83.17
69	0.29057987	84.60
70	0.29492060	87.74
71	0.29905220	84.30
72	0.30347570	81.64
73	0.30791389	84.10
74	0.31219131	87.75
75	0.31638054	84.76
76	0.32048981	86.73
77	0.32471765	87.98
78	0.32889344	83.99
79	0.33307845	87.31
80	0.33719250	87.25
81	0.34141560	86.18
82	0.34586647	84.75
83	0.35032698	87.30
84	0.35443338	83.56
85	0.35889944	88.79
86	0.36323051	89.88
87	0.36736206	87.12
88	0.37135262	90.63
89	0.37566835	90.55
90	0.37976534	90.31
91	0.38396560	90.02
92	0.38816972	91.63
93	0.39280575	91.51
94	0.39687304	91.73
95	0.40117409	91.92
96	0.40522880	92.90
97	0.40928858	92.93
98	0.41321211	93.44
99	0.41729596	93.87
100	0.42143924	93.94
