epoch	hours	top1Accuracy
1	0.00479701	41.24
2	0.00917460	63.44
3	0.01354110	62.68
4	0.01776725	75.57
5	0.02208996	70.87
6	0.02652016	76.62
7	0.03045503	73.73
8	0.03440490	77.16
9	0.03839195	68.93
10	0.04254635	68.49
11	0.04638455	76.94
12	0.05048125	75.94
13	0.05464070	74.06
14	0.05864391	70.65
15	0.06318813	78.54
16	0.06719058	81.31
17	0.07163534	78.10
18	0.07555929	80.25
19	0.07956199	65.55
20	0.08391495	83.92
21	0.08797587	82.94
22	0.09240616	83.41
23	0.09656023	79.59
24	0.10052050	83.35
25	0.10479676	83.21
26	0.10898832	83.73
27	0.11299172	78.37
28	0.11694911	82.31
29	0.12129147	84.60
30	0.12542891	85.99
31	0.12941277	84.07
32	0.13346954	87.05
33	0.13770846	86.40
34	0.14221531	88.48
35	0.14633559	89.87
36	0.15062707	89.96
37	0.15475841	89.38
38	0.15882997	91.53
39	0.16286754	92.35
40	0.16693049	93.13
