epoch	hours	top1Accuracy
1	0.00206837	21.77
2	0.00341278	30.05
3	0.00475844	34.94
4	0.00610481	37.97
5	0.00745311	42.62
6	0.00880165	46.79
7	0.01015469	48.47
8	0.01150470	49.60
9	0.01285505	51.87
10	0.01420816	53.03
11	0.01555973	54.40
12	0.01691183	54.88
13	0.01826419	55.98
14	0.01961742	56.44
15	0.02097063	56.88
16	0.02232425	57.60
17	0.02367784	57.67
18	0.02503139	58.71
19	0.02638625	58.76
20	0.02774171	59.28
21	0.02909634	58.91
22	0.03045114	59.81
23	0.03180860	59.90
24	0.03316292	60.11
25	0.03451759	60.40
26	0.03587292	60.49
27	0.03722819	61.09
28	0.03858274	61.32
29	0.03993861	61.04
30	0.04129415	61.69
31	0.04264932	61.60
32	0.04400500	61.57
33	0.04536118	61.39
34	0.04671656	61.76
35	0.04807278	61.73
36	0.04942897	62.19
37	0.05078545	62.32
38	0.05214063	62.54
39	0.05349581	62.27
40	0.05485211	62.33
41	0.05620780	62.20
42	0.05756230	62.49
43	0.05891980	62.49
44	0.06027499	62.87
45	0.06163148	62.28
46	0.06298670	62.94
47	0.06434182	62.78
48	0.06569719	62.87
49	0.06705272	62.94
50	0.06840816	62.70
51	0.06976401	62.96
52	0.07111952	62.87
53	0.07247426	63.20
54	0.07383008	63.17
55	0.07518599	62.81
56	0.07654127	62.79
57	0.07789554	62.87
58	0.07925022	62.85
59	0.08060535	62.70
60	0.08196080	62.94
61	0.08331691	62.92
62	0.08467324	63.07
63	0.08602741	63.07
64	0.08738129	62.68
65	0.08873665	63.15
66	0.09009060	62.75
67	0.09144400	63.02
68	0.09279807	63.17
69	0.09415352	63.02
70	0.09550802	63.05
71	0.09686159	63.16
72	0.09821499	63.12
73	0.09956803	63.11
74	0.10092081	62.94
75	0.10227458	62.61
76	0.10362767	63.11
77	0.10497982	62.96
78	0.10633197	63.11
79	0.10768400	63.19
80	0.10903700	63.06
81	0.11038864	63.14
82	0.11174344	62.98
83	0.11309537	62.92
84	0.11444844	63.00
85	0.11580305	62.79
86	0.11715521	62.92
87	0.11850751	62.97
88	0.11986010	62.94
89	0.12121182	62.95
90	0.12256419	63.05
91	0.12391538	62.93
92	0.12526705	62.99
93	0.12662080	62.98
94	0.12797432	62.87
95	0.12932581	62.98
96	0.13067923	62.99
97	0.13203159	62.84
98	0.13338450	62.91
99	0.13473910	62.96
100	0.13609010	62.89
