epoch	hours	top1Accuracy
1	0.00685222	22.93
2	0.01165910	9.60
3	0.01635954	10.00
4	0.02108119	10.59
5	0.02596919	10.00
6	0.03067848	9.93
7	0.03521717	10.00
8	0.03988696	10.00
9	0.04458941	10.00
10	0.04912626	10.00
11	0.05429204	10.00
12	0.05894267	10.00
13	0.06347424	10.00
14	0.06808315	10.00
15	0.07263630	10.00
16	0.07717431	10.00
17	0.08182938	10.00
18	0.08649392	10.00
19	0.09104710	10.00
20	0.09562604	10.00
21	0.10095803	10.00
22	0.10549459	10.00
23	0.11003346	10.00
24	0.11467945	10.00
25	0.11932584	10.00
