epoch	hours	top1Accuracy
1	0.00283219	34.39
2	0.00400814	47.24
3	0.00519778	51.81
4	0.00637672	53.22
5	0.00755632	57.99
6	0.00874839	62.46
7	0.00992585	59.73
8	0.01110343	58.27
9	0.01228778	66.73
10	0.01347095	64.31
11	0.01464717	66.36
12	0.01583010	64.10
13	0.01701003	63.42
14	0.01819863	64.71
15	0.01938060	63.89
16	0.02056011	61.06
17	0.02174582	57.33
18	0.02292408	56.94
19	0.02410283	52.91
20	0.02528590	51.92
21	0.02646406	46.62
22	0.02768062	44.32
23	0.02886848	41.10
24	0.03004685	35.93
25	0.03127441	40.89
26	0.03245969	31.53
27	0.03363888	29.29
28	0.03486007	26.81
29	0.03603863	20.91
30	0.03721993	14.95
31	0.03850070	10.74
32	0.03968021	10.01
33	0.04085855	10.00
34	0.04209059	10.00
35	0.04327009	10.00
36	0.04445136	10.00
37	0.04568986	10.00
38	0.04686724	10.00
39	0.04804969	10.00
40	0.04927081	10.00
