epoch	hours	top1Accuracy
1	0.00438878	25.99
2	0.00740385	33.10
3	0.01066127	38.62
4	0.01386441	41.97
5	0.01699885	45.67
6	0.02010251	50.35
7	0.02306329	52.14
8	0.02612956	52.89
9	0.02922646	53.80
10	0.03229489	52.84
11	0.03548495	55.19
12	0.03860946	52.27
13	0.04157288	56.61
14	0.04464460	59.73
15	0.04771332	59.52
16	0.05074654	62.39
17	0.05383200	58.12
18	0.05683461	60.73
19	0.05987868	62.79
20	0.06273278	63.50
21	0.06583174	64.85
22	0.06889958	65.81
23	0.07199978	63.95
24	0.07497551	64.19
25	0.07799727	62.70
26	0.08106199	61.62
27	0.08397752	66.99
28	0.08704733	66.31
29	0.09014708	66.74
30	0.09327488	68.52
31	0.09627452	68.15
32	0.09938713	62.04
33	0.10245447	67.87
34	0.10547127	67.96
35	0.10853044	68.44
36	0.11155232	66.89
37	0.11463532	61.08
38	0.11778902	68.71
39	0.12104265	70.54
40	0.12418487	66.36
41	0.12727977	68.24
42	0.13045165	68.57
43	0.13356226	64.49
44	0.13669960	69.63
45	0.13966320	70.35
46	0.14284499	67.32
47	0.14602761	65.50
48	0.14931136	67.13
49	0.15247712	68.50
50	0.15558475	69.16
51	0.15865051	69.65
52	0.16172347	71.80
53	0.16476808	68.27
54	0.16784465	66.65
55	0.17086509	71.39
56	0.17402903	69.94
57	0.17712075	70.88
58	0.18031107	71.35
59	0.18347830	68.17
60	0.18649534	70.86
61	0.18974459	69.73
62	0.19274224	72.06
63	0.19589208	71.38
64	0.19904497	64.31
65	0.20213912	72.18
66	0.20513684	71.10
67	0.20826166	70.31
68	0.21120764	68.00
69	0.21421792	73.01
70	0.21739303	71.26
71	0.22049835	69.62
72	0.22354658	74.26
73	0.22662550	71.52
74	0.22957015	74.18
75	0.23272758	73.50
76	0.23587037	73.23
77	0.23903089	72.93
78	0.24212302	73.21
79	0.24528459	74.04
80	0.24822296	74.40
81	0.25128167	72.72
82	0.25437573	74.19
83	0.25743155	74.06
84	0.26049086	73.32
85	0.26351685	74.24
86	0.26670505	74.06
87	0.26978456	73.76
88	0.27287117	73.78
89	0.27593186	74.45
90	0.27909876	75.07
91	0.28215807	75.58
92	0.28535038	74.87
93	0.28847539	75.46
94	0.29161423	73.92
95	0.29454050	74.96
96	0.29761391	75.03
97	0.30054234	74.92
98	0.30374572	75.74
99	0.30700556	75.29
100	0.31020317	75.46
