epoch	hours	top1Accuracy
1	0.00395966	26.17
2	0.00530315	31.90
3	0.00664878	38.13
4	0.00799190	40.44
5	0.00933524	44.97
6	0.01068002	47.01
7	0.01202598	47.32
8	0.01337317	50.61
9	0.01472040	50.79
10	0.01606834	49.95
11	0.01741695	52.98
12	0.01876531	54.54
13	0.02011483	51.95
14	0.02146447	52.57
15	0.02281412	55.20
16	0.02416414	55.22
17	0.02551451	54.43
18	0.02686539	55.48
19	0.02821618	55.96
20	0.02956715	56.21
21	0.03091911	56.87
22	0.03226946	57.69
23	0.03362061	56.40
24	0.03497105	58.19
25	0.03632284	57.77
26	0.03767446	58.37
27	0.03902478	58.10
28	0.04037624	58.22
29	0.04172869	57.72
30	0.04308019	58.36
31	0.04443187	57.99
32	0.04578326	58.92
33	0.04713453	57.62
34	0.04848707	58.99
35	0.04983855	56.59
36	0.05119034	58.71
37	0.05254151	59.04
38	0.05389284	59.58
39	0.05524465	59.91
40	0.05659586	59.27
41	0.05794842	59.50
42	0.05930069	59.21
43	0.06065288	59.28
44	0.06200487	59.97
45	0.06335637	59.11
46	0.06470854	59.66
47	0.06605954	59.72
48	0.06741149	59.24
49	0.06876308	59.59
50	0.07011364	59.43
51	0.07146617	60.18
52	0.07281759	59.59
53	0.07416915	60.47
54	0.07552128	60.01
55	0.07687290	59.95
56	0.07822422	59.84
57	0.07957554	59.63
58	0.08092735	60.42
59	0.08227828	59.87
60	0.08363009	59.30
61	0.08498317	59.63
62	0.08633480	59.86
63	0.08768666	59.93
64	0.08903839	59.86
65	0.09039024	60.59
66	0.09174094	60.11
67	0.09309232	60.18
68	0.09444339	60.11
69	0.09579482	60.52
70	0.09714736	60.37
71	0.09849852	59.87
72	0.09984984	60.01
73	0.10120186	59.96
74	0.10255374	59.88
75	0.10390611	60.57
76	0.10525825	60.17
77	0.10661000	60.32
78	0.10796154	60.81
79	0.10931490	60.65
80	0.11066675	59.45
81	0.11201853	60.58
82	0.11337133	60.16
83	0.11472389	59.56
84	0.11607522	60.65
85	0.11742691	60.50
86	0.11877911	60.39
87	0.12013210	60.32
88	0.12148429	60.28
89	0.12283595	60.84
90	0.12418788	60.76
91	0.12554013	60.89
92	0.12689274	60.55
93	0.12824418	61.08
94	0.12959635	61.08
95	0.13094975	61.26
96	0.13230388	60.89
97	0.13365661	61.09
98	0.13500977	61.08
99	0.13636113	60.94
100	0.13771445	60.95
