epoch	hours	top1Accuracy
1	0.00502475	34.22
2	0.00915470	48.10
3	0.01358983	57.16
4	0.01771106	55.57
5	0.02182492	66.24
6	0.02637631	73.83
7	0.03046070	73.94
8	0.03460567	73.24
9	0.03870771	76.37
10	0.04292859	78.95
11	0.04695442	75.62
12	0.05117219	77.69
13	0.05550390	69.11
14	0.05945232	82.52
15	0.06347941	81.88
16	0.06719114	77.27
17	0.07152863	80.93
18	0.07587991	81.57
19	0.08016086	79.70
20	0.08434892	81.45
21	0.08869311	83.94
22	0.09288458	82.80
23	0.09696596	82.60
24	0.10139191	83.81
25	0.10565413	82.39
26	0.11000142	84.37
27	0.11406240	83.21
28	0.11810706	85.23
29	0.12260250	84.00
30	0.12695043	86.90
31	0.13095543	83.23
32	0.13514205	87.62
33	0.13916312	86.61
34	0.14331029	87.62
35	0.14755661	88.52
36	0.15187317	88.50
37	0.15614499	89.29
38	0.16054035	89.39
39	0.16488483	90.13
40	0.16930389	90.53
