epoch	hours	top1Accuracy
1	0.00528627	23.05
2	0.00929943	34.11
3	0.01333676	39.35
4	0.01739753	40.86
5	0.02136276	48.56
6	0.02535852	49.61
7	0.02946356	56.01
8	0.03358185	57.61
9	0.03756507	57.59
10	0.04157573	61.26
11	0.04557236	59.09
12	0.04950803	64.26
13	0.05345543	63.77
14	0.05758117	65.86
15	0.06161502	63.58
16	0.06559253	66.46
17	0.06956089	63.46
18	0.07374510	68.67
19	0.07780153	70.63
20	0.08186713	67.22
21	0.08595516	69.19
22	0.09007009	71.81
23	0.09411772	70.47
24	0.09813948	68.86
25	0.10210795	69.94
26	0.10611808	70.72
27	0.11003716	72.26
28	0.11395176	72.90
29	0.11801926	72.81
30	0.12235827	73.17
31	0.12649248	72.21
32	0.13052701	73.77
33	0.13475768	73.57
34	0.13890349	75.23
35	0.14299628	75.05
36	0.14699371	73.95
37	0.15116803	75.37
38	0.15519193	75.90
39	0.15928105	75.70
40	0.16328880	76.38
